latitude,longitude,coordinates,utm_x,utm_y,utm_coordinates,label,closest_edge,closest_edge_coords,dist_to_closest_edge
52.2610355,10.525407000000001,POINT (10.525407 52.2610355),604106,5791168,POINT (604106 5791168),0,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6e61898>, 251050941, 196317724)","[(52.2615121, 10.5254961), (52.2614902, 10.5254909), (52.26148, 10.5254882), (52.2614205, 10.5254803), (52.2614152, 10.5254796), (52.2613596, 10.5254783), (52.2612475, 10.5254764), (52.2610257, 10.5254758), (52.2608035, 10.5254632), (52.2605814, 10.5254504)]",6.88262585417258e-05
52.261094944499284,10.525408746298124,POINT (10.52540874629812 52.26109494449928),604106,5791174,POINT (604106 5791174),0,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6e61898>, 251050941, 196317724)","[(52.2615121, 10.5254961), (52.2614902, 10.5254909), (52.26148, 10.5254882), (52.2614205, 10.5254803), (52.2614152, 10.5254796), (52.2613596, 10.5254783), (52.2612475, 10.5254764), (52.2610257, 10.5254758), (52.2608035, 10.5254632), (52.2605814, 10.5254504)]",6.724077189867374e-05
52.2611795,10.525412,POINT (10.525412 52.2611795),604106,5791184,POINT (604106 5791184),0,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6e61898>, 251050941, 196317724)","[(52.2615121, 10.5254961), (52.2614902, 10.5254909), (52.26148, 10.5254882), (52.2614205, 10.5254803), (52.2614152, 10.5254796), (52.2613596, 10.5254783), (52.2612475, 10.5254764), (52.2610257, 10.5254758), (52.2608035, 10.5254632), (52.2605814, 10.5254504)]",6.421581553893296e-05
52.2623034400978,10.528655746536266,POINT (10.52865574653627 52.2623034400978),604325,5791313,POINT (604325 5791313),1,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ed2320>, 35806051, 35806062)","[(52.2625349, 10.5284352), (52.2621323, 10.5287248), (52.2620936, 10.5287498), (52.2620275, 10.5287832), (52.2619306, 10.5288547)]",4.387893091029794e-05
52.26311030700368,10.526059624539233,POINT (10.52605962453923 52.26311030700368),604146,5791399,POINT (604146 5791399),2,"(<shapely.geometry.linestring.LineString object at 0x7fdbd55d9400>, 34672425, 28902888)","[(52.265305, 10.5261318), (52.2651318, 10.5261451), (52.2651222, 10.5261472), (52.2648336, 10.5262115), (52.26446, 10.5263012), (52.2642662, 10.5263554), (52.2641197, 10.5263979), (52.2641075, 10.5264015), (52.2639989, 10.5264304), (52.2639008, 10.5264441), (52.263815, 10.5264435), (52.263689, 10.5264142), (52.2636317, 10.526384), (52.2635744, 10.5263539), (52.2632947, 10.5262223), (52.2630198, 10.5260892), (52.2628394, 10.526002), (52.2627988, 10.5259824), (52.2627795, 10.5259731), (52.2626195, 10.525904)]",6.606089131073747e-05
52.263386499999996,10.529518500000002,POINT (10.5295185 52.2633865),604381,5791435,POINT (604381 5791435),3,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ea9f28>, 50917915, 251607648)","[(52.2636484, 10.5310387), (52.2636654, 10.5306967), (52.2636229, 10.5303254), (52.2635485, 10.5300235), (52.2634513, 10.5297785), (52.2634149, 10.5297006), (52.2632898, 10.529508), (52.2630714, 10.5291716), (52.262945, 10.5289447), (52.2628093, 10.528694), (52.2627187, 10.5284737), (52.2627016, 10.5284184), (52.2626895, 10.5283826), (52.2626707, 10.5283181)]",7.53753242631403e-05
52.26216349999999,10.525636499999996,POINT (10.5256365 52.26216349999999),604119,5791293,POINT (604119 5791293),5,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6e2f160>, 28902888, 28902891)","[(52.2626195, 10.525904), (52.2625085, 10.5258499), (52.2624161, 10.5258121), (52.2623869, 10.5258015), (52.261903, 10.5256254)]",7.865422937021138e-05
52.262031,10.528669,POINT (10.528669 52.262031),604327,5791283,POINT (604327 5791283),1,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ed2320>, 35806051, 35806062)","[(52.2625349, 10.5284352), (52.2621323, 10.5287248), (52.2620936, 10.5287498), (52.2620275, 10.5287832), (52.2619306, 10.5288547)]",0.00010034832516964956
52.261959999999995,10.5286895,POINT (10.5286895 52.26195999999999),604328,5791275,POINT (604328 5791275),1,"(<shapely.geometry.linestring.LineString object at 0x7fdbd700e0b8>, 269130407, 35806062)","[(52.2618033, 10.5282697), (52.2619306, 10.5288547)]",6.385429753712915e-05
52.26212049999998,10.528815999999997,POINT (10.528816 52.26212049999998),604336,5791293,POINT (604336 5791293),1,"(<shapely.geometry.linestring.LineString object at 0x7fdbd6ed2320>, 35806051, 35806062)","[(52.2625349, 10.5284352), (52.2621323, 10.5287248), (52.2620936, 10.5287498), (52.2620275, 10.5287832), (52.2619306, 10.5288547)]",7.12170485965553e-05
52.26302250000001,10.526023,POINT (10.526023 52.26302250000001),604144,5791389,POINT (604144 5791389),2,"(<shapely.geometry.linestring.LineString object at 0x7fdbd55d9400>, 34672425, 28902888)","[(52.265305, 10.5261318), (52.2651318, 10.5261451), (52.2651222, 10.5261472), (52.2648336, 10.5262115), (52.26446, 10.5263012), (52.2642662, 10.5263554), (52.2641197, 10.5263979), (52.2641075, 10.5264015), (52.2639989, 10.5264304), (52.2639008, 10.5264441), (52.263815, 10.5264435), (52.263689, 10.5264142), (52.2636317, 10.526384), (52.2635744, 10.5263539), (52.2632947, 10.5262223), (52.2630198, 10.5260892), (52.2628394, 10.526002), (52.2627988, 10.5259824), (52.2627795, 10.5259731), (52.2626195, 10.525904)]",6.077726587529421e-05
